id,start_date,end_date,associate_id,entity,department,division,sub_division,position,job,work_location,cost_center,region,level,is_active,updated_on,external_ref_id,org_code,is_org_head,grade,country,base_work_location,work_permit_status,is_mezzanine_member,is_mtm_member
"12816","2012-04-02 00:00:00","2024-06-22 00:00:00","411","1","970","3","24","241","48","8","CKTKMNADM","2","7","1","2025-03-20 09:21:15",\N,"20970","0",\N,"4",\N,\N,"0","0"
"12817","2012-04-16 00:00:00","2024-09-19 00:00:00","424","1","322","3","22","117","2","2","CKTKMNSBU","2","4","1","2024-09-20 05:46:45",\N,"20322","1",\N,"4",\N,\N,"0","0"
"12818","2012-05-02 00:00:00","2023-02-21 00:00:00","437","1","318","3","10","116","9","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"20318","1",\N,"4",\N,\N,"0","0"
"12819","2012-06-04 00:00:00","2024-01-04 00:00:00","449","1","352","2","11","17","12","5","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"20352","1",\N,"4",\N,\N,"0","0"
"12820","2012-07-04 00:00:00","2024-07-17 00:00:00","465","1","37","3","25","15","78","2","CKTFINTRY","1","7","1","2024-08-30 16:24:35",\N,"20037","0",\N,"4",\N,\N,"0","0"
"12821","2012-10-08 00:00:00","2023-02-21 00:00:00","494","1","1466","3","10","116","39","8","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12822","2012-11-26 00:00:00","9999-12-31 00:00:00","517","1","358","2","11","17","12","0","CKTMSAPL2","32","5","1","2024-07-18 10:05:12",\N,"20358","0",\N,"4",\N,\N,"0","0"
"12823","2012-12-19 00:00:00","2024-05-26 00:00:00","524","1","74","3","24","77","78","2","KSXXXXADM",\N,"7","1","2024-08-30 16:24:35",\N,"20074","1",\N,"4",\N,\N,"0","0"
"12824","2013-02-18 00:00:00","2024-09-19 00:00:00","543","1","916","3","24","241","48","2","CKTKEUSBU","7","7","1","2024-09-20 06:37:59",\N,"20916","0",\N,"4",\N,\N,"0","0"
"12825","2013-03-13 00:00:00","2023-03-20 00:00:00","557","1","915","3","43","147","10","2","CKTKEUSBU",\N,"7","1","2024-08-30 16:24:35",\N,"20915","1",\N,"4",\N,\N,"0","0"
"12826","2013-04-01 00:00:00","2023-07-20 00:00:00","568","1","13","3","24","156","78","1","CKTXXXHCM",\N,"4","1","2024-08-30 16:24:35",\N,"20013","1",\N,"4",\N,\N,"0","0"
"12827","2013-06-10 00:00:00","2023-07-05 00:00:00","591","1","366","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"20366","1",\N,"4",\N,\N,"0","0"
"12828","2013-07-03 00:00:00","2024-01-04 00:00:00","605","1","17","2","11","27","14","1","CKTXXXOHO",\N,"4","1","2024-07-05 10:52:32",\N,"20017","1",\N,"4",\N,\N,"0","0"
"12829","2013-07-17 00:00:00","2024-03-28 00:00:00","619","1","30","3","6","156","47","7","CKTHCMLDE",\N,"4","1","2024-07-05 10:52:32",\N,"20030","1",\N,"4",\N,\N,"0","0"
"12830","2013-08-05 00:00:00","2024-01-11 00:00:00","626","1","1023","1","12","92","2","0","CKTXXXMGT",\N,"3","1","2025-03-31 06:00:43",\N,"21023","1",\N,"4",\N,\N,"0","0"
"12831","2013-08-12 00:00:00","2023-07-18 00:00:00","630","1","1912","2","11","17","12","8","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21896","1",\N,"4",\N,\N,"0","0"
"12832","2013-09-16 00:00:00","2025-04-06 00:00:00","641","1","11","1","25","29","42","2","CKTXXXFIN","1","3","1","2025-04-24 05:52:08",\N,"20011","1",\N,"4",\N,\N,"1","0"
"12833","2010-06-02 00:00:00","2023-03-05 00:00:00","665","1","1882","3","27","226","10","16","CKTKUMSBU",\N,"7","1","2024-08-30 16:24:35",\N,"21866","1",\N,"4",\N,\N,"0","0"
"12834","2013-11-25 00:00:00","2024-01-04 00:00:00","676","1","1195","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21194","1",\N,"4",\N,\N,"0","0"
"12835","2013-12-09 00:00:00","2024-09-19 00:00:00","688","1","316","3","22","117","39","1","CKTKMNSBU","2","4","1","2024-09-20 07:01:53",\N,"20316","1",\N,"4",\N,\N,"0","0"
"12836","2014-01-13 00:00:00","2024-03-31 00:00:00","709","1","325","3","22","117","2","12","CKTKEUSBU",\N,"4","1","2024-11-27 13:40:34",\N,"20325","1",\N,"4",\N,\N,"0","0"
"12837","2014-06-23 00:00:00","2023-02-21 00:00:00","807","1","1660","3","10","116","10","12","CKTXXXOHO",\N,"5","1","2024-08-30 16:24:35",\N,"21650","0",\N,"4",\N,\N,"0","0"
"12838","2014-09-01 00:00:00","2023-03-20 00:00:00","826","1","10","1","6","72","10","2","CKTXXXHCM",\N,"3","1","2025-04-24 05:52:08",\N,"20010","1",\N,"4",\N,\N,"1","0"
"12839","2015-02-11 00:00:00","2024-01-04 00:00:00","917","1","1234","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21233","1",\N,"4",\N,\N,"0","0"
"12840","2015-02-11 00:00:00","2025-04-11 00:00:00","920","1","916","3","24","234","21","2","CKTKEUSBU","7","7","1","2025-04-14 10:26:58",\N,"20916","0",\N,"4",\N,\N,"0","0"
"12841","2015-03-11 00:00:00","2024-01-04 00:00:00","951","1","346","2","11","17","14","1","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"20346","1",\N,"4",\N,\N,"0","0"
"12842","2015-03-23 00:00:00","2023-02-21 00:00:00","961","1","1466","3","10","116","12","1","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12843","2015-03-25 00:00:00","2022-10-09 00:00:00","963","1","1663","2","11","17","47","1","CKTXXXOHO",\N,"5","1","2024-07-05 10:52:32",\N,"21653","1",\N,"4",\N,\N,"0","0"
"12844","2015-04-30 00:00:00","2024-01-11 00:00:00","996","1","2","1","12","92","61","0","KSXXXXBDM",\N,"3","1","2025-04-24 05:52:08",\N,"20002","1",\N,"4",\N,\N,"1","0"
"12845","2015-05-06 00:00:00","2022-11-17 00:00:00","1011","1","1456","3","27","79","47","12","CKTKEUSBU",\N,"7","1","2024-07-05 10:52:32",\N,"21454","1",\N,"4",\N,\N,"0","0"
"12846","2015-05-06 00:00:00","2023-02-21 00:00:00","1017","1","1466","3","10","116","14","8","CKTXXXPMO",\N,"5","1","2024-07-05 10:52:32",\N,"21465","0",\N,"4",\N,\N,"0","0"
"12847","2015-05-11 00:00:00","2023-06-22 00:00:00","1020","1","1756","2","11","17","14","8","CKTXXXOHO",\N,"6","1","2024-07-05 10:52:32",\N,"21742","1",\N,"4",\N,\N,"0","0"
